Day,Date,WIN,IBM Concept,Game Mechanic,Key Deliverable,Tests,Notes
1,2026-06-14,"First thought printed — Terramon born",—,Thought → Seed,main.py,0,"Foundation"
2,2026-06-15,"Hexagonal + Event-Driven architecture",—,Summon & Signal,README.md,0,"Architecture lock"
3,2026-06-16,"Full summon loop proven",—,Router → Agent → JSONL → Event,terramon/ (14 files),3/3,Serge gate
4,2026-06-29,"Intent routing — ANY thought summons the right creature","Agent Fundamentals: intent classification","IntentRouter — classify by intent, not keyword",agents/ updated,5/5,"🔜 Real practice starts"
5,2026-06-30,"Reflex frontend scaffold","Agent Interface: user → agent communication","Summon form renders accepts any thought",terramon_frontend/,Smoke test,AMD sign up
6,2026-07-01,"Summon feed UI — agent cards appear","Agent Response: structured output to user","UI shows creature cards after summon",pages/summon.py,UI test,"AMD: explore API"
7,2026-07-02,"Outcome memory — agents remember past summons","RAG: Retrieval-Augmented Generation","Memory loop: past outcomes influence future",domain/outcome.py,6/6,"AMD: define pitch"
8,2026-07-03,"Fireworks AI classifier — LLM replaces keyword routing","LLM-as-Classifier: use LLM for intent detection","Fireworks AI classifies thought intent",adapters/fireworks_classifier.py,Classifier,"🏆 AMD: first API call"
9,2026-07-04,"Territory system — agents mapped to regions","Agent Context: giving agents environmental awareness","Ranger patrols named regions",domain/territory.py,Territory,"🏆 AMD: Dockerize"
10,2026-07-05,"Agent-to-agent events — one publishes, another subscribes","Multi-Agent Communication: event-driven handoffs","EventBus: strategist reads ranger sightings",events/ranger_spotted.py,Event fan-out,"🏆 AMD: test GPU"
11,2026-07-06,"🏆 World map UI + DID stub","Agent Identity: decentralised agent identities","Map shows territories + creatures",pages/map.py,Map + identity,"🏆 LIVE Jul 6–11"
12,2026-07-07,"🏆 SQLite adapter swap — hexagonal proven","Tool Use: agents interact with storage","MemoryPort has SQLite implementation",adapters/sqlite_memory.py,Adapter swap,"🏆 DAY 2"
13,2026-07-08,"🏆 Multi-agent world: 3+ agents with territory memory","Multi-Agent Systems: coordination patterns","WorldState tracks all agents + territories",agents/archivist.py,Multi-agent,"🏆 DAY 3"
14,2026-07-09,"🏆 Bitcoin Lightning micropayment","Agent Economics: cost-per-action models","Rare summon costs satoshis",adapters/lightning_adapter.py,Payment,"🏆 DAY 4"
15,2026-07-10,"🏆 On-chain thought seed signed with wallet","Agent Security: verifiable identity","Thought seeds signed with wallet key",adapters/wallet_signer.py,Signature,"🏆 DAY 5"
16,2026-07-11,"🏆 SUBMIT — containerised on AMD GPU","Agent Deployment: containerisation + cloud","Dockerfile + AMD GPU",Dockerfile,Integration,"🏆 SUBMIT 15:00"
17,2026-07-12,"Post-hackathon polish — README + demo GIF","Agent Documentation: communicating capability","README + demo GIF",README.md,All prior,"🏆 POST-SUBMIT"
18,2026-07-13,"Mobile-first UI pass","Agent UX: designing for any device","Responsive at 375px",pages/summon.py,Mobile test,
19,2026-07-14,"Codex design — every agent has lore + personality","Agent Persona: defining agent identity","Each creature: name, condition, personality, tools, lore",docs/codex/*.md,Codex consistency,
20,2026-07-15,"Schell lenses: Desire, Essential Experience, Fun, Curiosity, Flow","Agent Motivation: what drives engagement","Schell lens 1,3,4,18 → summon loop",lenses/desire.md,Lens audit,"📚 SCHELL DAY 1"
21,2026-07-16,"Schell lenses: Feedback, Story Machine, The World, Avatar","Agent Feedback: response loops","Schell lens 57,65,74,75 → territory",lenses/feedback.md,Lens audit,"📚 SCHELL DAY 2"
22,2026-07-17,"Schell lenses: Economy, Fairness, Reward, Emergence","Agent Economics: reward systems","Schell lens 40,46,30,23 → Lightning",lenses/economy.md,Lens audit,"📚 SCHELL DAY 3"
23,2026-07-18,"All 100 Schell lenses committed","Agent Design Patterns: complete library","All lenses mapped to CCGS roles",.agents/skills/ccgs_/,Lens complete,"📚 SCHELL COMPLETE"
24,2026-07-19,"Rare agent mechanic — conditional summon","Agent Rarity: scarcity drives engagement","Some creatures appear only under specific thoughts",domain/rarity.py,Rarity tests,
25,2026-07-20,"Agent XP — creatures grow with use","Agent Learning: agents improve over time","XP based on summon frequency + outcome quality",domain/agent_xp.py,XP tests,Monetisation
26,2026-07-21,"Lightning VIP tier — rare agent costs sats","Agent Monetisation: freemium → premium","Free tier meaningful, premium costs sats",adapters/lightning_vip.py,Tier tests,
27,2026-07-22,"Portfolio showcase — indra-ai.dev live demo","Agent Portfolio: proving capability","Terramon demo on portfolio site",indra-ai.dev,Visual QA,
28,2026-07-23,"Pitch polished — 1 paragraph, 1 GIF, 1 payment link","Agent Pitch: communicating value","Concise pitch + demo",docs/pitch.md,Pitch review,
29,2026-07-24,"Integration stress test — full system under load","Agent Reliability: testing under pressure","10 thoughts, 3 agents, 2 territories, Lightning",tests/test_integration.py,10/10,
30,2026-07-25,"Bug fix + polish — all issues resolved","Agent Quality: refinement","Stress test fixes applied",Various,All green,
31,2026-07-26,"Full codex complete","Agent Identity: all creatures defined","Every agent has codex entry",docs/codex/ complete,Consistency,
32,2026-07-27,"Birthday demo prep — walkthrough + screenshots","Agent Demo: showing the journey","Demo script + assets",docs/demo_script.md,Dry run,
33,2026-07-28,"v0.1.0 release — git tag + release notes","Agent Release: shipping","Tagged release",git tag v0.1.0,All green,
34,2026-07-29,"🎂 BIRTHDAY — v0.1.0 live, hackathon done, Lightning live, Schell done, pensum proven","Agent Complete: full system","All systems operational",EVERYTHING,All green,"🎂 POINT B"
